tipo,sub_tipo,codigo,nombre,provincia,codigo_departamento,departamento,localidad,direccion_geo,direccion,cp,telefono,extra1_reunion,extra2_inscripcion,extra3_socios,lat,lon
Centro de jubilados,,,CENTRO JYP DE VILLA BENJAMIN ARAOZ,TUCUMAN,,,BENJAMIN ARAOZ,"RUTA 304 KM 55 S/N, BENJAMIN ARAOZ, TUCUMAN, Argentina",RUTA 304 KM 55 S/N,4119,,LUN. A VIE. 17 A 20 HS.,1990-12-13,144,,
Centro de jubilados,,,C DE JYP NAC ROSARIO DE SAN NICOLAS - ESTACION ARAOZ,TUCUMAN,,,ESTACION ARAOZ,"SIN NOMBRE  5, ESTACION ARAOZ, TUCUMAN, Argentina",SIN NOMBRE  5,4119,,LUN. A VIE. 16 A 20 HS.,2001-06-01,91,,
Centro de jubilados,,,CENTRO DE JYP NAC DE EL CHAÑAR,TUCUMAN,,,EL CHANAR,"AV SAN CAYETANO S/N, EL CHANAR, TUCUMAN, Argentina",AV SAN CAYETANO S/N,4117,,LUNES A VIERNES 8 A 12,1988-06-15,500,,
Centro de jubilados,,,C JYP NAC GDOR GARMENDIA,TUCUMAN,,,GOBERNADOR GARMENDIA,"ALFREDO BULLOT S/N, GOBERNADOR GARMENDIA, TUCUMAN, Argentina",ALFREDO BULLOT S/N,4187,,LUN. A VIE. 8 A 12 HS.,1994-01-14,150,,
Centro de jubilados,,,C JYP NAC 20 DE JUNIO,TUCUMAN,,,LA RAMADA,"9 DE JULIO 397, LA RAMADA, TUCUMAN, Argentina",9 DE JULIO 397,4119,,LUN. A VIE. 7 A 11 HS.,1993-01-04,245,,
Centro de jubilados,,,C JYP NAC 7 DE ABRIL,TUCUMAN,,,7 DE ABRIL,"PRINCIPAL S/N, 7 DE ABRIL, TUCUMAN, Argentina",PRINCIPAL S/N,4195,,LUNES 9 A 13 HS.,1994-01-11,70,,
Centro de jubilados,,,CENTRO AMISTAD 3ª EDAD Bº ECHEVERRIA Y VILLA MUÑECAS,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"JUAN LUIS NOUGUES 2251, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",JUAN LUIS NOUGUES 2251,4000,,LUN. A MIE. 8 A 12 HS.,1992-11-10,60,-26.8025454,-65.2376559
Centro de jubilados,,,C JYP NAC INDEPENDENCIA,TUCUMAN,,,TUCUMAN,"LA PLATA 757, TUCUMAN, TUCUMAN, Argentina",LA PLATA 757,4000,,L-MA-J 17 A 20 HS,1984-05-23,480,-26.8395622,-65.2402373
Centro de jubilados,,,ASOC JYP DE COMERCIO Y ACTIV CIVILES,TUCUMAN,,,TUCUMAN,"GRAL. PAZ 976, TUCUMAN, TUCUMAN, Argentina",GRAL. PAZ 976,4000,,MAR. Y VIE. 18:30/21 HS.,1985-08-15,694,,
Centro de jubilados,,,C JYP CERVECEROS DE TUCUMAN,TUCUMAN,,,TUCUMAN,"ESPAÑA 971, TUCUMAN, TUCUMAN, Argentina",ESPAÑA 971,4000,,MARTES 18 HS.,1987-09-08,87,-26.8168904,-65.2029292
Centro de jubilados,,,MOVIMIENTO MUJERES FRATERNALES 2 DE MAYO,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"LAS PIEDRAS 248, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",LAS PIEDRAS 248,4000,,LUN. MIE. VIE. 8 A 12 HS.,1987-09-21,300,-26.8344306,-65.2087213
Centro de jubilados,,,CIRC DE JYP DE LA UNIVERSIDAD NAC DE TUCUMAN,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"LAS PIEDRAS 1257, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",LAS PIEDRAS 1257,4000,,LUN. Y VIE.  17 A 20 HS.,1988-03-21,480,-26.8344306,-65.2087213
Centro de jubilados,,,C JYP DE LUZ Y FUERZA,TUCUMAN,,,TUCUMAN,"PIEDRAS (1º PISO) 348, TUCUMAN, TUCUMAN, Argentina",PIEDRAS (1º PISO) 348,4000,,L-M Y V 8 A 11/30,1988-06-21,48,,
Centro de jubilados,,,JYP C MANUEL DE ESTRADA DE VILLA LUJAN,TUCUMAN,,,TUCUMAN,"PJE. RECONQUISTA 549, TUCUMAN, TUCUMAN, Argentina",PJE. RECONQUISTA 549,4000,,LUN. A VIE. 16 A 20 HS.,1990-02-28,209,,
Centro de jubilados,,,C JYP NAC BARRIO GENTE DE PRENSA,TUCUMAN,,,S M DE TUCUMAN,"GRAL PAZ  2777, S M DE TUCUMAN, TUCUMAN, Argentina",GRAL PAZ  2777,4000,,JUEVES 16:30 HS.,1990-03-21,300,,
Centro de jubilados,,,C JYP TELEFONICOS DE TUCUMAN,TUCUMAN,,,TUCUMAN,"SALTA 34, TUCUMAN, TUCUMAN, Argentina",SALTA 34,4000,,LU A VI 8 A 12 HS,1990-11-16,197,-25.8008629,-64.9756909
Centro de jubilados,,,C JYP SARGENTO CABRAL,TUCUMAN,,,TUCUMAN,"COLOMBIA 2259, TUCUMAN, TUCUMAN, Argentina",COLOMBIA 2259,4000,,LUNES 14 A 21 HS.,1991-01-03,180,-26.8039699,-65.2125655
Centro de jubilados,,,CENTRO DE JYP NAC VILLA MUÑECAS NORTE,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"FRANCISCO DE AGUIRRE 3245, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",FRANCISCO DE AGUIRRE 3245,4000,,1º Y ULTIMO VIERN DEL MES,1991-04-23,105,,
Centro de jubilados,,,C JYP NAC Y MUN DE ATE,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"SILVANO BORES  28, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",SILVANO BORES  28,4000,,LU A VI 8 A 12 HS,1991-05-17,247,,
Centro de jubilados,,,C JYP FERROVIARIOS 8 DE DICIEMBRE,TUCUMAN,,,Bº FERROVIARIO," PASAJE ZAVALETA  4339, Bº FERROVIARIO, TUCUMAN, Argentina", PASAJE ZAVALETA  4339,4000,,LUN. A VIE. 8 A 12 HS.,1991-05-28,324,,
Centro de jubilados,,,C JYP DEL AUTOTRANSP DE PAS DE TUCUMAN,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"BENJAMIN VILLAFAÑE  1532, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",BENJAMIN VILLAFAÑE  1532,4000,,L A V 17 A 20 HS,1993-01-06,300,-26.8015568,-65.1866437
Centro de jubilados,,,C JYP EL PORVENIR,TUCUMAN,,,SAN  MIGUEL DE TUCUMAN,"ALBERTO ROUGES 1722, SAN  MIGUEL DE TUCUMAN, TUCUMAN, Argentina",ALBERTO ROUGES 1722,4000,,JUE 8 A 11,1993-03-31,334,,
Centro de jubilados,,,C JYP NAC 17 DE JULIO SAN CAYETANO,TUCUMAN,,,SAN CAYETANO,"RICARDO ROJAS Y G. SAL 400, SAN CAYETANO, TUCUMAN, Argentina",RICARDO ROJAS Y G. SAL 400,4000,,LUN. A VIE. 9 A 12 HS.,1994-04-14,250,,
Centro de jubilados,,,C JYP NAC ROSAS Y JAZMINES Bø N AVELLANEDA,TUCUMAN,,,S MS DE TUCUMAN,"LIBERTAD  1437, S MS DE TUCUMAN, TUCUMAN, Argentina",LIBERTAD  1437,4000,,MA Y VI 16/30 A 20 HS,1994-07-18,165,,
Centro de jubilados,,,C JYP NAC  UNIDOS,TUCUMAN,,,S.M. DE TUCUMAN,"JOSE MANUEL ESTRADA   2660, S.M. DE TUCUMAN, TUCUMAN, Argentina",JOSE MANUEL ESTRADA   2660,4000,,SIN DATO,1995-05-17,200,,
Centro de jubilados,,,C JYP NAC LAS VICTORIAS,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"PJE VIEYTEN 2062, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",PJE VIEYTEN 2062,4000,,MENSUALES,1995-10-19,430,,
Centro de jubilados,,,C JYP VILLA AMALIA,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"BENJAMIN LAVAISSE 314, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",BENJAMIN LAVAISSE 314,4000,,LUN. A VIE. 10 A 12 HS.,1995-10-20,125,,
Centro de jubilados,,,C JYP NAC AMISTAD LUZ Y VIDA,TUCUMAN,,,SAN  MIGUEL DE TUCUMAN,"RAUL COLOMBRES 72, SAN  MIGUEL DE TUCUMAN, TUCUMAN, Argentina",RAUL COLOMBRES 72,4000,,LUN. MIE. VIE.18 A 20 HS.,1995-10-20,152,,
Centro de jubilados,,,C JYP MECANICOS DEL AUTOMOTOR DE TUCUMAN,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"LUCAS CORDOBA 390, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",LUCAS CORDOBA 390,4000,,LUN. A VIE. 16 A 20 HS.,1998-05-20,240,-26.8192759,-65.2194248
Centro de jubilados,,,"C JYP NAC ""RENACER""",TUCUMAN,,,S. MIGUEL DE TUCUMAN,"PJE COMANDANTE ROSALES 1366, S. MIGUEL DE TUCUMAN, TUCUMAN, Argentina",PJE COMANDANTE ROSALES 1366,4000,,LU Y vie 8/11,1998-06-25,230,,
Centro de jubilados,,,C JYP NACIONALES DE VILLA ANGELINA,TUCUMAN,,,SM.DE TUCUMAN,"ANTONIO P.PALAVECINO 820, SM.DE TUCUMAN, TUCUMAN, Argentina",ANTONIO P.PALAVECINO 820,4000,,SIN DATO,1998-10-06,89,,
Centro de jubilados,,,FED DE JYP FERROVIARIOS Y DEMAS LEYES NACIONALES,TUCUMAN,,,S.M.TUCUMAN,"JUJUY 1148, S.M.TUCUMAN, TUCUMAN, Argentina",JUJUY 1148,4000,,,1998-12-23,6,,
Centro de jubilados,,,C DE JYP. NAC. DEL MILAGRO,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"PJE, LAMADRID  539, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina","PJE, LAMADRID  539",4000,,LU A VIE 8/12 Y 16/20 HS,1999-01-14,700,,
Centro de jubilados,,,FED DE CENTROS DE JYP NAC UNION DE SAN MIGUEL DE TUCUMAN,TUCUMAN,,,S.M.DE TUCUMAN,"SANTA FE 2644, S.M.DE TUCUMAN, TUCUMAN, Argentina",SANTA FE 2644,4000,,QUINCENAL,1999-07-20,49,,
Centro de jubilados,,,CENTRO DE JYP NAC SAN JAVIER,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"SANTA FE  2644, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",SANTA FE  2644,4000,,MIERCOLES 18 HS. (CD),2000-05-25,300,-26.8146462,-65.2297027
Centro de jubilados,,,ASOC. DE AMIGOS JUB. Y PENS. NAC.,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"SANTIAGO DEL ESTERO 1124, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",SANTIAGO DEL ESTERO 1124,4000,,LUN. A VIE. 19 A 21 HS.,2000-07-17,180,-26.816744,-65.2394128
Centro de jubilados,,,CENTRO DE JUB. Y PENS. MEJORT TUCUMAN,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"9 DE JULIO 775, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",9 DE JULIO 775,4000,,MIE 14/18,2000-07-17,300,-26.8761775,-65.2162676
Centro de jubilados,,,"CLUB DE ABUELOS JUVENTUD, ALEGRIA, VIDA.",TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"SAN LORENZO 1283, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",SAN LORENZO 1283,4000,,LUN. MIE. VIE. 8/10:30 HS,2001-04-03,1000,-26.821224,-65.2654481
Centro de jubilados,,,CENTRO DE JYP UN LUGAR EN EL MUNDO,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"FLORENTINO AMEGHINO 53, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",FLORENTINO AMEGHINO 53,4000,,JUEVES 9 A 21 HS.,2001-06-01,169,-26.8390799,-65.271165
Centro de jubilados,,,"CTRO DE JYP NAC. ""UNION AMISTAD Y VALOR""",TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"COLOMBIA 463, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",COLOMBIA 463,4000,,V 8-12 Y 17-20 HS,2001-08-27,300,-26.7976978,-65.2490033
Centro de jubilados,,,CENTRO DE JYP EL SUD VIVE,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"JUANA AZURDUY 467, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",JUANA AZURDUY 467,4000,,JUE 18/20,2003-06-12,70,,
Centro de jubilados,,,CTRO DE JUBILADOS CIUDADELA,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"GENERAL PAZ  1856, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",GENERAL PAZ  1856,4000,,LUN. A VIE. 17 A 20,2003-06-23,70,-26.8357413,-65.2090016
Centro de jubilados,,,FEDERACION DE CENTROS DE JYP NACIONALES 20 DE SETIEMBRE,TUCUMAN,,,S. M. DE TUCUMAN,"CONGRESO 245, S. M. DE TUCUMAN, TUCUMAN, Argentina",CONGRESO 245,4000,,2º MARTES DEL MES 10 HS.,2003-07-30,18,,
Centro de jubilados,,,ASOC. CIVIL CTRO. DE JYP. OCTUBRE,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"BALCARCE 1663, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",BALCARCE 1663,4000,,LU A VIE 18 A 20,2005-01-05,35,-26.7951508,-65.1904804
Centro de jubilados,,,"ASOC. CTRO. DE JYP. NAC., PROV. O MUNICIPALES SAN EXPEDITO",TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"BOLIVAR 2611, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",BOLIVAR 2611,4000,,LUN. MAR. JUE.17 A 20 HS.,2005-01-05,150,-26.8385941,-65.2164036
Centro de jubilados,,,"ASOC CIVIL ""CLUB ABUELOS BARRIO EL BOSQUE""",TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"SANTIAGO DEL ESTERO 1658, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",SANTIAGO DEL ESTERO 1658,4000,,MARTES 18 A 21 HS.,2005-10-18,50,-26.816744,-65.2394128
Centro de jubilados,,,CENTRO DE JYP NACIONALES SAN  FRANCISCO,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"TORRES POSEE  1420, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",TORRES POSEE  1420,4000,,LU MIE VIE,2006-02-27,108,,
Centro de jubilados,,,CTRO. DE JYP MARIA REINA DE LA PAZ ASOC. CIVIL,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"SAN LORENZO 3435, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",SAN LORENZO 3435,4000,,CADA 15 DIAS,2005-03-02,100,-26.821224,-65.2654481
Centro de jubilados,,,CENTRO DE JYP DE YPF TUCUIMAN,TUCUMAN,,,S.M.DE TUCUMAN,"PASAJE SOROL   335, S.M.DE TUCUMAN, TUCUMAN, Argentina",PASAJE SOROL   335,4000,,LU A VIE 14/20,2006-09-12,300,,
Centro de jubilados,,,ASOCIACION CIVIL CENTRO TUCUMANO UNIDO DE ADULTOS MAYORES,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"12 DE OCTUBRE  1859, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",12 DE OCTUBRE  1859,4000,,MAR. VIE. 16:30 A 20 HS.,2007-11-01,53,-26.8156025,-65.2168516
Centro de jubilados,,,"CENTRO RECREATIVO CIUDAD HISTORICA PARA JUB. , PENS. Y 3ª EDAD",TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"PJE. LUIS SAENZ PEÑA 3091, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",PJE. LUIS SAENZ PEÑA 3091,4000,,S / DATO,2007-11-13,300,,
Centro de jubilados,,, CENTRO DE LA TERCERA EDAD - TUCUMAN ASOCIACION CIVIL ,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"PJE. MAGALLANES  CASA 36 2500, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",PJE. MAGALLANES  CASA 36 2500,4000,,S / DATO,2008-07-18,53,,
Centro de jubilados,,,CTRO DE JYP AMISTAD 20 DE JULIO,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"LAPRIDA 2041, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",LAPRIDA 2041,4000,,MIE. Y JUE. 18 A 19 HS.,2009-03-12,245,-26.8272834,-65.2022597
Centro de jubilados,,,CLUB DE ABUELOS Bº LOS PINOS,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"EMILIO CASTELAR 777, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",EMILIO CASTELAR 777,4000,,LUN. A VIE. 8 A 12 HS.,2009-08-24,50,-26.7980565,-65.1953069
Centro de jubilados,,,ASOCIACION CIVIL CENTRO UNIDO DE RECREACION DE JYP,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"LAPRIDA 1916, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",LAPRIDA 1916,4000,,S/ DATO,2010-05-19,102,-26.8272834,-65.2022597
Centro de jubilados,,,CENTRO DE JYP NAC. Y PROV. FRANCISCO DE AGUIRRE ASOCIACION CIVIL,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"PJE. MARCONI 1760, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",PJE. MARCONI 1760,4000,,S/ DATO,2011-03-23,76,,
Centro de jubilados,,,CENTRO DE JYP NACIONALES Y PROVINCIALES DEL Bª SAN MARTIN,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"HORACIO POVIÑA 870, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",HORACIO POVIÑA 870,4000,,S/ DATO,2011-05-17,51,,
Centro de jubilados,,,ASOC. CIVIL CTRO. DE JYP COMUNIDAD EN ORGANIZACION,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"AMERICO VESPUCIO 1050, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",AMERICO VESPUCIO 1050,4000,,S/ DATO,2011-07-19,50,-26.8478228,-65.2619951
Centro de jubilados,,,ASOC. CIVIL CTRO. DE JYP ESTHER PADILLA,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"LARREA 2543, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",LARREA 2543,4000,,S/ DATO,2011-07-20,50,-26.8412009,-65.2612933
Centro de jubilados,,,ASOC. DE ATLETAS VETERANOS HIPODROMO DE TUCUMAN,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"AV. IRINEO LEGUIZAMO 800, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",AV. IRINEO LEGUIZAMO 800,4000,,S/ DATO,2011-10-21,60,,
Centro de jubilados,,,ASOC. CIVIL CTRO. DE JYP 7 DE MAYO,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"CORDOBA 838, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",CORDOBA 838,4000,,S/ DATO,2012-11-19,50,-26.8300544,-65.2608301
Centro de jubilados,,,CTRO. DE JYP NAC. Y PROV. UNIDOS PARA SIEMPRE ASOC. CIVIL,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"PJE. LARRETA 2248, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",PJE. LARRETA 2248,4000,,S/ DATO,2013-01-21,50,,
Centro de jubilados,,,ASOC. CIVIL CTRO. DE JYP JUSTO JUEZ,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"JUAN LUIS NOGUES 2251, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",JUAN LUIS NOGUES 2251,4000,,S/ DATO,2013-05-22,60,,
Centro de jubilados,,,"ASOC. CIVIL CTRO. DE JYP NAC., PROV. Y MUNICIPALES DE TUCUMAN",TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"MZNA. H BLOCK 2 LOCAL 12 S/N, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",MZNA. H BLOCK 2 LOCAL 12 S/N,4000,,S/ DATO,2013-07-19,60,,
Centro de jubilados,,,"CTRO. DE J. JOVENES AYER, HOY Y SIEMPRE ASOC. CIVIL",TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"MZNA. F - BLOCK 2 DPTO. 2 S/N, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",MZNA. F - BLOCK 2 DPTO. 2 S/N,4000,,S/ DATO,2013-11-29,60,,
Centro de jubilados,,,ASOC. CIVIL CTRO. DE VETERANOS DE GUERRA DE MALVINAS JYP,TUCUMAN,,,SAN MIGUIEL DE TUCUMAN,"PJE. MONTEVIDEO 2091, SAN MIGUIEL DE TUCUMAN, TUCUMAN, Argentina",PJE. MONTEVIDEO 2091,4000,,S/ DATO,2010-11-25,53,,
Centro de jubilados,,,C JYP NAC MARIANO MORENO,TUCUMAN,,,V. M. MORENO,"CALLE 8  375, V. M. MORENO, TUCUMAN, Argentina",CALLE 8  375,4101,,SIN DATO,1995-03-01,249,,
Centro de jubilados,,,C JYP DE ALDERETES,TUCUMAN,,,ALDERETES,"ARTURO ILLIA 110, ALDERETES, TUCUMAN, Argentina",ARTURO ILLIA 110,4178,,LUN MIE VIE 17 A 20 HS.-,1985-01-02,220,,
Centro de jubilados,,,CENTRO DE JUB. Y PENS. NAC. CAMINEMOS JUNTOS,TUCUMAN,,,ALDERETES,"BLAS PARERA 1ª CUADRA S/N, ALDERETES, TUCUMAN, Argentina",BLAS PARERA 1ª CUADRA S/N,4178,,MI 18 HS EN ADEL,2000-08-18,115,,
Centro de jubilados,,,C JYP NAC DE CIUDAD BANDA DEL RIO SALI,TUCUMAN,,,BANDA DEL RIO SALI,"25 DE MAYO  250, BANDA DEL RIO SALI, TUCUMAN, Argentina",25 DE MAYO  250,4109,,LUN A VIE DE 8 A 12 HS.-,1984-04-30,500,,
Centro de jubilados,,,C JYP NAC SANTO CRISTO,TUCUMAN,,,BANDA RIO SALADO,"SAN MIGUEL 746, BANDA RIO SALADO, TUCUMAN, Argentina",SAN MIGUEL 746,4109,, VIERNES 19 A  21 HS.,1992-06-09,163,,
Centro de jubilados,,,CENTRO DE JYP COLOMBRES - CRUZ ALTA,TUCUMAN,,,COLOMBRES,"SAN MARTIN S/N, COLOMBRES, TUCUMAN, Argentina",SAN MARTIN S/N,4111,,LUN. A VIE. 9 A 11 HS.,1984-04-26,128,,
Centro de jubilados,,,C JYP UNIDOS NUESTRA SRA. DEL VALLE,TUCUMAN,,,COLOMBRES,"AV. SAN MARTIN 104, COLOMBRES, TUCUMAN, Argentina",AV. SAN MARTIN 104,4111,,MIERCOLES 18 A 20 HS.,1998-06-16,86,,
Centro de jubilados,,,C JYP NAC DE DELFIN GALLO,TUCUMAN,,,DELFIN GALLO,"NTRA. SRA DEL CARMEN  S/N, DELFIN GALLO, TUCUMAN, Argentina",NTRA. SRA DEL CARMEN  S/N,4117,,VIERNES 17.00 HS,1987-03-05,250,,
Centro de jubilados,,,C JYP NAC DE LAS CEJAS,TUCUMAN,,,LAS CEJAS,"RIVADAVIA S/N, LAS CEJAS, TUCUMAN, Argentina",RIVADAVIA S/N,4186,,LU A VI  8 A 12HS,1988-09-15,320,,
Centro de jubilados,,,C JYP NAC DE LASTENIA,TUCUMAN,,,LASTENIA,"TORQUINST Y LA PLATA 1423, LASTENIA, TUCUMAN, Argentina",TORQUINST Y LA PLATA 1423,4111,,MAR. VIE. 16:30 A 20 HS.,1988-06-23,305,,
Centro de jubilados,,,C JYP NAC 25 DE MAYO DE LASTENIA,TUCUMAN,,,LASTENIA,"REPUBLICA 335, LASTENIA, TUCUMAN, Argentina",REPUBLICA 335,4111,,SABADOS 10 A 12 HS.,1993-09-13,600,,
Centro de jubilados,,,C JYP NAC 20 DE SETIEMBRE,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"AV.  AMERICA 122, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",AV.  AMERICA 122,4111,,LUN. A VIE. 8 A 12 HS.,1996-10-21,250,-26.8152477,-65.2496211
Centro de jubilados,,,C JYP DE LOS RALOS,TUCUMAN,,,LOS RALOS,"AV SAN MARTIN, 4ª CUADRA S/N, LOS RALOS, TUCUMAN, Argentina","AV SAN MARTIN, 4ª CUADRA S/N",4182,,LU A VIE 8 / 12 ,1986-02-27,700,,
Centro de jubilados,,,ASOC JYP NAC DE RANCHILLOS,TUCUMAN,,,RANCHILLOS,"RUTA 302    KM 25 S/N, RANCHILLOS, TUCUMAN, Argentina",RUTA 302    KM 25 S/N,4178,,LUN. A VIE. 9 A 11:30 HS.,1985-08-05,260,,
Centro de jubilados,,,C JYP EL PROGRESO DE RANCHILLOS,TUCUMAN,,,RANCHILLOS,"AV. SOLANO PEÑA 50, RANCHILLOS, TUCUMAN, Argentina",AV. SOLANO PEÑA 50,4178,,S/ DATO,1999-02-22,50,,
Centro de jubilados,,,C JYP NAC SAN ANDRES,TUCUMAN,,,SAN ANDRES,"AV. GRAL SAN MARTIN 85, SAN ANDRES, TUCUMAN, Argentina",AV. GRAL SAN MARTIN 85,4111,,LU A VIE 8 A 12 HS ,1991-08-06,180,,
Centro de jubilados,,,ASOC. CIVIL CTRO. DE JYP NAC. Y PROV. SAN ANDRES,TUCUMAN,,,SAN ANDRES,"SAN MARTIN 483, SAN ANDRES, TUCUMAN, Argentina",SAN MARTIN 483,4111,,S/ DATO,2012-07-20,70,,
Centro de jubilados,,,ASOC MUTUALISTA DE JYP FERROVIARIOS,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"CONGRESO P.B. 681, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",CONGRESO P.B. 681,4000,,LUN. A VIE. 18 A 20 HS.,1988-04-20,190,,
Centro de jubilados,,,C JYP NAC 3ERA JUVENTUD-PRIMAVERA 91,TUCUMAN,,,SAN MIGUEL DE TUCUMAN,"GRAL. PAZ  1852, SAN MIGUEL DE TUCUMAN, TUCUMAN, Argentina",GRAL. PAZ  1852,4000,,L MA MI VI 9/11.30 ,1992-06-16,235,,
Centro de jubilados,,,C JYP NAC FERROV Y DEMAS LEYES PREV MUTUALISTA,TUCUMAN,,,SAN MIGUEL TUCUMAN,"LAS PIEDRAS 348, SAN MIGUEL TUCUMAN, TUCUMAN, Argentina",LAS PIEDRAS 348,4000,,"LU, MIE. Y VIE. 9 A 12 HS",1992-06-23,100,,
Centro de jubilados,,,C JYP NAC CELESTE Y BLANCO ING LA FLORIDA,TUCUMAN,,,ING LA FLORIDA,"M.T.ALVEAR S/N, ING LA FLORIDA, TUCUMAN, Argentina",M.T.ALVEAR S/N,4117,,LU MIE Y VIE 16/20 HS,1984-08-22,150,,
Centro de jubilados,,,C JYP UNIDAD Y PROGRESO LA FLORIDA,TUCUMAN,,,LA FLORIDA,"AV. PRINCIPAL PEDRO G. ME S/N, LA FLORIDA, TUCUMAN, Argentina",AV. PRINCIPAL PEDRO G. ME S/N,4117,,LUN A VIE DE 8 A 12HS,1988-06-21,364,,
Centro de jubilados,,,SOCIEDAD DE JYP NAC INGENIO SAN JUAN,TUCUMAN,,,INGENIO SAN JUAN,"AMERICO VESPUCIO 415, INGENIO SAN JUAN, TUCUMAN, Argentina",AMERICO VESPUCIO 415,4109,,LUN. MIE. VIE. 8 A 12 HS.,1985-08-23,137,,
